ticker,kerzen,pivot_kontrolle,t_atr,t_serien,pruefttage,luecken_offen,korrekturen,korrekturen_je_jahr,tiefe_p25,tiefe_p50,tiefe_p75,tiefe_p90,dauer_p25,dauer_p50,dauer_p75,dauer_p90,mit_ergebnis,risiko_p33,chance_a_median,ratio_a_p67,chance_b_median,ratio_b_p67,gut_a_pct,gut_b_pct,haelt2_pct
GLW,1759,1,2.2075639737469945,117,510,0,90,12.86,2.87,3.59,4.71,6.42,3.2,6.5,12.0,17.0,487,0.666,1.793,1.406,5.315,4.415,30.2,30.4,49.3
GM,1759,1,2.516251917243982,112,525,0,74,10.57,3.07,3.97,5.59,7.04,4.0,7.5,13.8,22.0,508,0.541,1.836,1.202,4.32,3.556,28.1,29.1,48.8
GOOG,1759,1,2.3263169389286142,144,524,0,81,11.57,2.74,3.33,4.87,6.23,5.0,7.0,12.0,16.0,505,0.525,1.979,1.894,5.714,4.88,28.7,30.1,52.9
GOOGL,1759,1,2.3172412306210752,149,536,0,80,11.43,2.73,3.4,4.92,6.24,4.0,7.0,12.0,16.1,516,0.538,1.994,1.854,5.738,4.738,28.5,29.5,52.9
GS,1759,1,2.1606292356545196,133,529,0,89,12.72,2.6,3.27,5.05,5.84,3.0,8.0,11.0,14.2,507,0.446,2.229,2.031,5.96,4.811,27.8,29.8,57.2
GSK,1759,1,2.3873288845563754,123,617,0,81,11.57,3.48,4.3,5.64,7.76,4.0,9.0,13.0,22.0,592,1.14,2.202,1.244,5.436,3.123,27.9,29.6,41.4
HD,1759,1,2.236000181470363,114,524,0,77,11.0,2.82,3.51,5.43,7.99,3.0,7.0,14.0,20.8,505,0.866,2.024,0.94,4.447,2.552,28.5,29.1,44.4
HDB,1759,1,2.4869309641087813,115,582,0,68,9.72,3.5,4.46,6.4,9.13,6.0,10.5,19.2,26.3,565,1.4,2.028,0.985,3.937,2.683,27.4,28.3,40.7
HEI.DE,1781,1,2.2779054671703203,102,522,3,84,12.0,2.79,3.47,4.86,6.19,4.0,8.0,11.0,16.0,506,0.574,1.945,1.32,4.248,3.893,29.6,30.2,48.4
HEN3.DE,1781,1,2.8397949130430713,91,512,3,52,7.43,3.47,4.68,7.01,10.82,7.0,11.0,22.0,35.4,492,1.273,2.135,1.179,3.891,2.171,29.1,28.0,41.7
HNR1.DE,1781,1,2.1878368671656885,104,478,3,83,11.86,2.8,3.6,5.6,7.06,4.0,7.0,11.5,16.6,462,1.129,1.618,0.855,5.286,2.704,28.4,29.7,45.9
HON,1759,1,2.3741697566909994,116,529,0,76,10.86,3.19,3.9,5.38,6.51,5.0,9.0,14.0,20.0,512,1.317,1.698,0.864,3.824,2.132,29.5,30.1,41.8
HSBC,1759,1,1.8262187804892325,154,681,0,121,17.29,2.38,3.05,4.44,6.64,2.0,4.0,6.0,13.0,654,0.968,1.724,0.954,5.854,3.895,28.6,29.7,44.8
IBM,1759,1,3.0154555605743174,75,498,0,47,6.72,4.34,5.48,7.22,8.22,9.5,15.0,22.5,34.2,474,0.829,2.899,2.227,5.4,3.654,29.7,29.1,47.7
IBN,1759,1,2.359756065849742,128,606,0,85,12.15,3.1,4.0,5.56,6.9,4.0,7.0,12.0,18.0,585,1.012,1.86,1.272,5.524,3.811,28.7,29.4,47.9
IDXX,1759,1,2.2985427464517154,116,519,0,72,10.29,2.99,3.88,5.29,7.73,3.0,7.5,13.2,22.9,498,1.051,1.737,1.012,4.392,2.791,28.3,28.3,46.6
IFX.DE,1781,1,2.311138113768023,122,516,3,82,11.71,3.04,3.78,5.16,6.18,5.0,7.0,11.0,18.0,496,0.7,1.999,1.503,5.335,3.809,30.4,29.6,50.8
ILMN,1759,1,2.2930548713729477,105,513,0,89,12.72,2.8,3.78,4.9,6.77,4.0,8.0,11.0,16.0,499,0.991,1.599,0.961,3.816,2.572,28.7,29.7,45.1
ING,1759,1,1.830222940109554,144,644,0,115,16.43,2.32,3.47,5.01,6.5,2.5,5.0,8.5,14.0,618,0.71,1.673,1.185,6.383,4.866,27.2,28.8,48.1
INTC,1759,1,2.9017621045175255,91,532,0,56,8.0,3.79,4.96,6.82,9.06,7.8,15.0,19.2,28.0,509,1.474,2.309,1.072,3.881,2.388,28.7,28.3,40.5
INTU,1759,1,2.5745828509318427,103,527,0,69,9.86,3.32,4.14,5.33,6.52,4.0,9.0,14.0,23.2,503,0.6,2.197,1.872,4.603,3.786,29.0,28.6,54.5
ISRG,1759,1,2.1239269637157028,113,536,0,82,11.72,2.81,3.62,4.85,6.31,4.0,8.0,12.0,15.9,516,0.753,1.852,1.039,4.424,3.371,27.7,29.1,46.7
JNJ,1759,1,2.1455356647168373,129,512,0,85,12.15,2.65,3.68,4.71,6.66,4.0,8.0,13.0,18.0,495,1.073,1.468,0.815,4.193,2.931,26.7,29.5,43.8
JPM,1759,1,2.197195198133092,128,544,0,79,11.29,2.84,3.59,4.9,6.17,4.0,6.0,12.0,17.0,524,0.453,1.992,1.537,4.938,3.766,27.7,28.4,55.5
KDP,1759,1,2.0925969804425653,94,497,0,90,12.86,2.61,3.58,4.82,6.11,3.0,5.0,12.0,19.1,478,1.291,1.619,0.829,3.674,1.979,29.9,31.0,41.2
KHC,1759,1,1.888922776887496,114,490,0,104,14.86,2.66,3.45,4.91,6.05,4.0,6.0,11.0,16.7,472,1.997,1.241,0.516,3.442,1.79,26.1,30.7,33.5
KLAC,1759,1,2.3364499053719756,140,559,0,86,12.29,2.89,3.55,4.73,5.66,3.0,6.0,13.0,16.5,540,0.541,2.094,1.768,5.807,4.905,28.9,28.7,56.1
KO,1759,1,2.200268647881552,85,528,0,77,11.0,2.72,3.41,4.85,6.48,4.0,8.0,14.0,21.0,505,0.738,1.842,1.31,4.704,3.42,28.3,28.3,55.8
LIN,1759,1,2.1001397238076747,129,601,0,92,13.15,2.76,3.6,4.45,6.26,4.0,7.0,11.0,15.0,577,0.746,1.593,0.874,4.824,3.142,28.8,25.1,50.6
LLY,1759,1,2.3219694910228945,109,487,0,79,11.29,2.76,3.54,4.86,6.87,3.0,9.0,13.0,17.0,463,0.264,2.198,2.536,6.587,6.595,27.4,27.0,58.3
LMT,1759,1,2.5774715652275253,101,488,0,63,9.0,3.04,4.52,6.07,8.12,5.0,9.0,18.5,26.2,471,1.486,1.601,0.89,3.84,2.139,27.2,28.7,37.8
LOW,1759,1,2.37619268911911,119,522,0,70,10.0,2.99,3.86,5.44,7.33,5.0,9.0,16.0,21.0,502,1.24,1.865,1.037,4.651,2.845,29.1,28.1,43.0
