ticker,merkmal,ziel,n_mit_bis2022,n_ohne_bis2022,q_mit_bis2022,q_ohne_bis2022,diff_bis2022,n_mit_ab2023,n_ohne_ab2023,q_mit_ab2023,q_ohne_ab2023,diff_ab2023
ABNB,divergenz,gut_b,12,42,16.7,31.0,-14.3,11,65,81.8,29.2,52.6
ABNB,divergenz,haelt2,12,42,41.7,47.6,-5.9,11,65,81.8,38.5,43.3
ABNB,ausverkauf,gut_a,10,134,50.0,16.4,33.6,16,249,43.8,31.7,12.1
ABNB,ausverkauf,gut_b,10,134,40.0,17.9,22.1,16,249,43.8,33.3,10.5
ABNB,ausverkauf,haelt2,10,134,80.0,31.3,48.7,16,249,75.0,44.6,30.4
ABNB,erschoepfung,gut_a,18,36,27.8,27.8,0.0,16,60,31.2,36.7,-5.5
ABNB,erschoepfung,gut_b,18,36,27.8,27.8,0.0,16,60,37.5,36.7,0.8
ABNB,erschoepfung,haelt2,18,36,50.0,44.4,5.6,16,60,37.5,46.7,-9.2
ABNB,erholung_vol,gut_a,9,135,22.2,18.5,,13,252,46.2,31.7,14.5
ABNB,erholung_vol,gut_b,9,135,44.4,17.8,,13,252,38.5,33.7,4.8
ABNB,erholung_vol,haelt2,9,135,55.6,33.3,,13,252,53.8,46.0,7.8
ABNB,zweig_a,gut_a,75,69,17.3,20.3,-3.0,136,129,30.1,34.9,-4.8
ABNB,zweig_a,gut_b,75,69,18.7,20.3,-1.6,136,129,33.8,34.1,-0.3
ABNB,zweig_a,haelt2,75,69,30.7,39.1,-8.4,136,129,43.4,49.6,-6.2
ABNB,zweig_b,gut_a,77,67,19.5,17.9,1.6,149,116,32.9,31.9,1.0
ABNB,zweig_b,gut_b,77,67,19.5,19.4,0.1,149,116,34.9,32.8,2.1
ABNB,zweig_b,haelt2,77,67,37.7,31.3,6.4,149,116,49.0,43.1,5.9
ABNB,hammer,gut_a,5,139,20.0,18.7,,7,258,14.3,32.9,
ABNB,hammer,gut_b,5,139,20.0,19.4,,7,258,14.3,34.5,
ABNB,hammer,haelt2,5,139,20.0,35.3,,7,258,28.6,46.9,
ABNB,doppelboden,gut_a,13,131,30.8,17.6,13.2,15,250,40.0,32.0,8.0
ABNB,doppelboden,gut_b,13,131,23.1,19.1,4.0,15,250,40.0,33.6,6.4
ABNB,doppelboden,haelt2,13,131,53.8,32.8,21.0,15,250,60.0,45.6,14.4
ABNB,schluss_ueber_vortageshoch,gut_a,57,87,12.3,23.0,-10.7,91,174,40.7,28.2,12.5
ABNB,schluss_ueber_vortageshoch,gut_b,57,87,17.5,20.7,-3.2,91,174,39.6,31.0,8.6
ABNB,schluss_ueber_vortageshoch,haelt2,57,87,35.1,34.5,0.6,91,174,57.1,40.8,16.3
ABNB,kein_neues_tief,gut_a,79,65,17.7,20.0,-2.3,142,123,35.2,29.3,5.9
ABNB,kein_neues_tief,gut_b,79,65,19.0,20.0,-1.0,142,123,35.9,31.7,4.2
ABNB,kein_neues_tief,haelt2,79,65,35.4,33.8,1.6,142,123,52.8,39.0,13.8
ABNB,ueber_ema200,gut_a,26,70,0.0,20.0,-20.0,157,108,22.9,46.3,-23.4
ABNB,ueber_ema200,gut_b,26,70,0.0,21.4,-21.4,157,108,24.8,47.2,-22.4
ABNB,ueber_ema200,haelt2,26,70,3.8,37.1,-33.3,157,108,36.9,60.2,-23.3
ABNB,tief_ab_2,gut_a,66,78,15.2,21.8,-6.6,115,150,28.7,35.3,-6.6
ABNB,tief_ab_2,gut_b,66,78,16.7,21.8,-5.1,115,150,32.2,35.3,-3.1
