ticker,zeitraum,puffer,punkte,faelle,rendite_mittel,rendite_median,ko_quote
BABA,ab2023,1.0,3,1,-5.2,-5.2,0.0
BABA,bis2022,1.0,0,113,-6.3,-100.0,51.3
BABA,bis2022,1.0,1,132,4.0,-19.9,31.1
BABA,bis2022,1.0,2,36,-12.1,-18.3,25.0
BABA,bis2022,1.0,3,3,-35.6,-46.5,33.3
BAC,ab2023,1.0,0,81,20.0,-34.9,32.1
BAC,ab2023,1.0,1,145,11.5,-8.5,15.9
BAC,ab2023,1.0,2,29,36.2,-1.9,3.4
BAC,bis2022,1.0,0,84,-6.5,-57.6,41.7
BAC,bis2022,1.0,1,137,9.2,-20.7,21.9
BAC,bis2022,1.0,2,52,8.6,3.2,11.5
BAC,bis2022,1.0,3,1,-82.3,-82.3,0.0
BAS.DE,ab2023,1.0,0,82,-37.9,-100.0,54.9
BAS.DE,ab2023,1.0,1,143,-21.4,-52.5,36.4
BAS.DE,ab2023,1.0,2,27,-3.2,-9.6,3.7
BAS.DE,bis2022,1.0,0,88,-22.7,-100.0,58.0
BAS.DE,bis2022,1.0,1,143,-19.6,-64.5,39.2
BAS.DE,bis2022,1.0,2,17,18.6,-4.1,5.9
BAS.DE,bis2022,1.0,3,1,72.5,72.5,0.0
BAYN.DE,ab2023,1.0,0,78,11.9,-52.0,46.2
BAYN.DE,ab2023,1.0,1,139,-0.8,-32.0,33.8
BAYN.DE,ab2023,1.0,2,39,-22.6,-49.0,30.8
BAYN.DE,ab2023,1.0,3,2,-100.0,-100.0,100.0
BAYN.DE,bis2022,1.0,0,68,-10.4,-87.8,50.0
BAYN.DE,bis2022,1.0,1,119,-7.2,-28.5,30.3
BAYN.DE,bis2022,1.0,2,43,-18.7,-62.1,34.9
BAYN.DE,bis2022,1.0,3,1,-68.4,-68.4,0.0
BBVA,ab2023,1.0,0,125,70.8,3.1,26.4
BBVA,ab2023,1.0,1,149,20.6,-6.6,16.8
BBVA,ab2023,1.0,2,28,48.8,14.4,7.1
BBVA,ab2023,1.0,3,3,36.4,-1.8,0.0
BBVA,bis2022,1.0,0,97,-11.1,-62.7,40.2
BBVA,bis2022,1.0,1,132,8.4,-21.6,22.7
BBVA,bis2022,1.0,2,31,13.0,-9.4,9.7
BBVA,bis2022,1.0,3,1,-22.3,-22.3,0.0
BEI.DE,ab2023,1.0,0,78,-7.9,-57.8,39.7
BEI.DE,ab2023,1.0,1,139,-2.8,-21.2,28.1
BEI.DE,ab2023,1.0,2,45,4.6,-18.1,8.9
BEI.DE,ab2023,1.0,3,3,-23.0,-25.0,33.3
BEI.DE,bis2022,1.0,0,91,4.9,-45.2,36.3
BEI.DE,bis2022,1.0,1,131,-15.6,-42.0,32.1
BEI.DE,bis2022,1.0,2,24,96.3,48.7,0.0
BHP,ab2023,1.0,0,125,-9.4,-76.5,48.0
BHP,ab2023,1.0,1,162,-0.6,-19.7,22.8
BHP,ab2023,1.0,2,32,-13.2,-28.2,12.5
BHP,ab2023,1.0,3,1,42.0,42.0,0.0
BHP,bis2022,1.0,0,108,61.4,-29.0,42.6
BHP,bis2022,1.0,1,155,51.9,6.5,22.6
BHP,bis2022,1.0,2,29,-15.7,-15.5,20.7
BHP,bis2022,1.0,3,2,94.8,94.8,0.0
BIIB,ab2023,1.0,0,79,-27.0,-100.0,59.5
BIIB,ab2023,1.0,1,133,-20.1,-46.5,32.3
BIIB,ab2023,1.0,2,26,-28.6,-60.8,42.3
BIIB,ab2023,1.0,3,2,101.6,101.6,0.0
BIIB,bis2022,1.0,0,52,-23.5,-83.9,46.2
BIIB,bis2022,1.0,1,132,22.4,-42.8,37.9
BIIB,bis2022,1.0,2,51,-23.9,-39.7,23.5
BIIB,bis2022,1.0,3,4,-27.9,-40.2,25.0
BKNG,ab2023,1.0,0,81,24.0,-44.3,37.0
BKNG,ab2023,1.0,1,137,28.8,-13.6,16.8
BKNG,ab2023,1.0,2,34,48.4,2.8,8.8
BKNG,ab2023,1.0,3,5,87.1,46.5,20.0
BKNG,bis2022,1.0,0,86,3.3,-29.9,37.2
BKNG,bis2022,1.0,1,138,18.6,0.1,15.2
BKNG,bis2022,1.0,2,32,28.9,-9.5,25.0
BKNG,bis2022,1.0,3,2,20.2,20.2,0.0
