ticker,zeitraum,band,klasse,n,ew_atr
ADP,bis2022,weit,0-10,35,0.967
ADP,bis2022,mittel,40-100,51,0.437
ADP,bis2022,mittel,25-40,23,1.0
ADP,bis2022,mittel,10-25,30,1.342
ADP,bis2022,mittel,0-10,15,1.085
ADP,bis2022,weit,unter Einstieg,34,1.335
ADP,bis2022,mittel,unter Einstieg,44,-0.867
ADP,bis2022,sehr weit,unter Einstieg,20,3.654
ADP,ab2023,mittel,0-10,22,-1.123
ADP,ab2023,mittel,10-25,31,-0.726
ADP,ab2023,weit,10-25,34,-0.561
ADP,ab2023,weit,unter Einstieg,59,-1.369
ADP,ab2023,weit,40-100,82,-0.189
ADP,ab2023,mittel,25-40,21,0.208
ADP,ab2023,mittel,unter Einstieg,129,-1.216
ADP,ab2023,mittel,40-100,52,-0.36
ADP,ab2023,sehr weit,0-10,54,-0.139
ADP,ab2023,sehr weit,10-25,63,-0.461
ADP,ab2023,weit,25-40,29,-1.105
ADP,ab2023,weit,0-10,24,-0.036
ADP,ab2023,sehr weit,40-100,221,-0.121
ADP,ab2023,sehr weit,25-40,47,0.36
ADP,ab2023,sehr weit,unter Einstieg,117,-0.606
ADS.DE,bis2022,frueh,25-40,3,0.354
ADS.DE,bis2022,mittel,40-100,120,-0.836
ADS.DE,bis2022,mittel,25-40,54,-0.896
ADS.DE,bis2022,mittel,10-25,48,0.732
ADS.DE,bis2022,mittel,0-10,45,0.116
ADS.DE,bis2022,weit,0-10,43,0.027
ADS.DE,bis2022,sehr weit,10-25,29,-0.781
ADS.DE,bis2022,sehr weit,40-100,78,1.516
ADS.DE,bis2022,sehr weit,0-10,36,0.587
ADS.DE,bis2022,weit,25-40,36,-2.056
ADS.DE,bis2022,weit,40-100,181,-1.699
ADS.DE,bis2022,weit,10-25,37,-0.734
ADS.DE,bis2022,weit,unter Einstieg,81,-1.421
ADS.DE,bis2022,mittel,unter Einstieg,186,-0.698
ADS.DE,bis2022,frueh,40-100,3,0.553
ADS.DE,bis2022,frueh,unter Einstieg,20,0.757
ADS.DE,bis2022,sehr weit,25-40,41,0.965
ADS.DE,bis2022,sehr weit,unter Einstieg,8,-1.188
ADS.DE,ab2023,mittel,25-40,71,0.881
ADS.DE,ab2023,mittel,40-100,190,1.123
ADS.DE,ab2023,mittel,unter Einstieg,104,2.205
ADS.DE,ab2023,mittel,10-25,67,0.811
ADS.DE,ab2023,weit,0-10,45,0.357
ADS.DE,ab2023,weit,25-40,36,-0.217
ADS.DE,ab2023,weit,40-100,86,0.918
ADS.DE,ab2023,sehr weit,0-10,63,-0.051
ADS.DE,ab2023,frueh,25-40,2,1.852
ADS.DE,ab2023,mittel,0-10,27,0.974
ADS.DE,ab2023,weit,10-25,46,-0.81
ADS.DE,ab2023,sehr weit,10-25,23,-0.151
ADS.DE,ab2023,sehr weit,25-40,18,-0.011
ADS.DE,ab2023,sehr weit,40-100,49,0.509
ADS.DE,ab2023,frueh,40-100,9,0.184
ADS.DE,ab2023,frueh,unter Einstieg,31,-0.053
ADS.DE,ab2023,frueh,10-25,3,1.754
ADS.DE,ab2023,sehr weit,unter Einstieg,1,-2.067
ADS.DE,ab2023,weit,unter Einstieg,12,-1.853
ADSK,bis2022,mittel,10-25,38,0.664
ADSK,bis2022,mittel,25-40,20,0.769
ADSK,bis2022,mittel,unter Einstieg,102,1.164
ADSK,bis2022,mittel,40-100,49,0.924
ADSK,bis2022,weit,25-40,26,-0.385
ADSK,bis2022,weit,40-100,112,0.336
ADSK,bis2022,weit,0-10,55,0.19
ADSK,bis2022,weit,10-25,33,-0.005
ADSK,bis2022,mittel,0-10,29,0.495
ADSK,bis2022,sehr weit,0-10,96,-0.118
ADSK,bis2022,sehr weit,10-25,50,0.251
ADSK,bis2022,weit,unter Einstieg,156,1.148
ADSK,bis2022,sehr weit,25-40,25,0.48
ADSK,bis2022,sehr weit,40-100,111,2.246
ADSK,bis2022,sehr weit,unter Einstieg,97,2.712
ADSK,ab2023,weit,40-100,101,1.73
ADSK,ab2023,weit,0-10,37,0.821
ADSK,ab2023,sehr weit,10-25,53,0.718
ADSK,ab2023,sehr weit,0-10,79,0.264
ADSK,ab2023,sehr weit,40-100,563,0.487
ADSK,ab2023,mittel,25-40,33,-0.327
ADSK,ab2023,mittel,40-100,80,1.269
ADSK,ab2023,mittel,unter Einstieg,233,2.627
ADSK,ab2023,mittel,10-25,35,0.273
ADSK,ab2023,mittel,0-10,24,0.782
ADSK,ab2023,sehr weit,25-40,73,0.376
ADSK,ab2023,sehr weit,unter Einstieg,103,-0.767
ADSK,ab2023,weit,unter Einstieg,113,2.735
ADSK,ab2023,weit,10-25,41,0.577
ADSK,ab2023,weit,25-40,25,-0.738
AEP,bis2022,mittel,40-100,250,1.102
AEP,bis2022,mittel,25-40,74,1.139
AEP,bis2022,weit,0-10,55,0.71
AEP,bis2022,weit,10-25,80,0.825
AEP,bis2022,weit,25-40,39,0.577
AEP,bis2022,weit,40-100,103,0.841
AEP,bis2022,sehr weit,0-10,110,0.223
AEP,bis2022,sehr weit,10-25,76,0.363
AEP,bis2022,mittel,10-25,67,0.815
AEP,bis2022,mittel,0-10,44,0.597
AEP,bis2022,sehr weit,25-40,71,0.863
AEP,bis2022,sehr weit,40-100,102,1.56
AEP,bis2022,mittel,unter Einstieg,270,0.711
AEP,bis2022,weit,unter Einstieg,105,0.71
AEP,bis2022,sehr weit,unter Einstieg,33,3.635
AEP,ab2023,mittel,0-10,13,1.045
AEP,ab2023,mittel,10-25,33,0.919
AEP,ab2023,weit,25-40,37,2.272
AEP,ab2023,weit,unter Einstieg,28,0.182
AEP,ab2023,weit,40-100,49,2.208
AEP,ab2023,mittel,25-40,35,2.006
AEP,ab2023,mittel,unter Einstieg,148,0.182
AEP,ab2023,mittel,40-100,119,1.338
AEP,ab2023,weit,0-10,25,0.707
AEP,ab2023,sehr weit,10-25,56,1.756
AEP,ab2023,sehr weit,25-40,50,0.847
AEP,ab2023,sehr weit,40-100,54,0.267
AEP,ab2023,sehr weit,unter Einstieg,17,-0.9
AEP,ab2023,sehr weit,0-10,74,0.802
AEP,ab2023,weit,10-25,36,1.927
AIR.DE,bis2022,weit,0-10,39,0.528
AIR.DE,bis2022,weit,25-40,40,1.833
AIR.DE,bis2022,weit,10-25,38,1.089
AIR.DE,bis2022,sehr weit,0-10,50,0.298
AIR.DE,bis2022,mittel,25-40,20,-0.743
AIR.DE,bis2022,mittel,40-100,142,0.164
AIR.DE,bis2022,mittel,unter Einstieg,161,1.1
AIR.DE,bis2022,mittel,0-10,30,0.685
AIR.DE,bis2022,mittel,10-25,32,0.905
AIR.DE,bis2022,weit,40-100,95,1.572
AIR.DE,bis2022,sehr weit,25-40,10,-0.407
AIR.DE,bis2022,sehr weit,40-100,57,-1.346
AIR.DE,bis2022,weit,unter Einstieg,52,0.863
AIR.DE,bis2022,sehr weit,unter Einstieg,24,-1.18
AIR.DE,bis2022,sehr weit,10-25,22,-0.702
AIR.DE,ab2023,mittel,25-40,16,0.695
AIR.DE,ab2023,weit,0-10,30,-0.18
AIR.DE,ab2023,sehr weit,0-10,35,0.019
AIR.DE,ab2023,mittel,40-100,60,1.632
AIR.DE,ab2023,mittel,unter Einstieg,39,2.045
AIR.DE,ab2023,mittel,10-25,14,-0.458
AIR.DE,ab2023,mittel,0-10,24,0.762
AIR.DE,ab2023,weit,10-25,32,0.135
AIR.DE,ab2023,sehr weit,10-25,26,-0.427
AIR.DE,ab2023,sehr weit,25-40,24,0.032
AIR.DE,ab2023,weit,40-100,91,0.61
AIR.DE,ab2023,weit,25-40,13,-1.261
AIR.DE,ab2023,weit,unter Einstieg,73,0.544
AIR.DE,ab2023,sehr weit,40-100,50,1.004
AIR.DE,ab2023,sehr weit,unter Einstieg,30,2.509
ALV.DE,bis2022,mittel,40-100,95,0.815
ALV.DE,bis2022,mittel,25-40,34,0.659
ALV.DE,bis2022,weit,10-25,36,0.633
ALV.DE,bis2022,weit,40-100,134,1.25
ALV.DE,bis2022,weit,unter Einstieg,108,-0.004
ALV.DE,bis2022,weit,25-40,51,0.674
ALV.DE,bis2022,weit,0-10,32,1.513
ALV.DE,bis2022,sehr weit,0-10,80,0.589
ALV.DE,bis2022,mittel,unter Einstieg,59,0.95
ALV.DE,bis2022,mittel,10-25,42,-0.106
ALV.DE,bis2022,sehr weit,25-40,28,1.945
ALV.DE,bis2022,sehr weit,10-25,28,1.305
ALV.DE,bis2022,sehr weit,40-100,44,2.328
ALV.DE,bis2022,sehr weit,unter Einstieg,9,-0.365
ALV.DE,bis2022,mittel,0-10,12,0.188
ALV.DE,ab2023,mittel,10-25,30,0.414
ALV.DE,ab2023,mittel,25-40,18,0.651
ALV.DE,ab2023,mittel,40-100,75,1.241
ALV.DE,ab2023,weit,0-10,38,0.211
ALV.DE,ab2023,mittel,0-10,15,0.691
ALV.DE,ab2023,mittel,unter Einstieg,19,2.124
ALV.DE,ab2023,weit,25-40,18,0.959
ALV.DE,ab2023,weit,10-25,32,0.538
ALV.DE,ab2023,weit,40-100,77,0.818
ALV.DE,ab2023,weit,unter Einstieg,86,0.853
ALV.DE,ab2023,sehr weit,40-100,108,-0.153
ALV.DE,ab2023,sehr weit,25-40,14,0.754
ALV.DE,ab2023,sehr weit,10-25,21,0.539
ALV.DE,ab2023,sehr weit,0-10,32,0.124
ALV.DE,ab2023,sehr weit,unter Einstieg,72,-1.458
AMAT,bis2022,mittel,40-100,101,-1.378
AMAT,bis2022,mittel,0-10,55,-0.791
AMAT,bis2022,weit,0-10,31,-1.011
AMAT,bis2022,weit,10-25,31,-1.884
AMAT,bis2022,mittel,unter Einstieg,218,-1.441
AMAT,bis2022,mittel,25-40,39,-0.643
AMAT,bis2022,mittel,10-25,39,-0.855
AMAT,bis2022,sehr weit,0-10,21,0.017
AMAT,bis2022,sehr weit,10-25,11,1.454
AMAT,bis2022,weit,40-100,54,-0.532
AMAT,bis2022,weit,unter Einstieg,41,-0.613
AMAT,bis2022,weit,25-40,23,-2.156
AMAT,bis2022,sehr weit,25-40,9,2.87
AMAT,bis2022,sehr weit,40-100,30,3.778
AMAT,bis2022,sehr weit,unter Einstieg,33,5.036
AMAT,bis2022,frueh,40-100,3,-1.315
AMAT,bis2022,frueh,10-25,1,0.067
AMAT,bis2022,frueh,25-40,1,0.862
AMAT,bis2022,frueh,unter Einstieg,11,-1.185
AMAT,ab2023,mittel,25-40,56,1.87
AMAT,ab2023,mittel,10-25,56,1.074
AMAT,ab2023,mittel,0-10,33,1.33
AMAT,ab2023,weit,25-40,30,1.732
AMAT,ab2023,weit,40-100,89,3.22
AMAT,ab2023,weit,10-25,17,1.055
AMAT,ab2023,weit,0-10,33,1.229
AMAT,ab2023,sehr weit,10-25,23,0.816
AMAT,ab2023,mittel,40-100,89,2.116
AMAT,ab2023,sehr weit,0-10,41,0.55
AMAT,ab2023,mittel,unter Einstieg,91,1.872
AMAT,ab2023,sehr weit,25-40,8,3.035
AMAT,ab2023,sehr weit,40-100,21,4.074
AMAT,ab2023,sehr weit,unter Einstieg,18,6.055
AMAT,ab2023,weit,unter Einstieg,78,4.967
AMD,bis2022,mittel,10-25,56,0.643
