datum,vix,vdax,fg,vdax_quelle
2011-09-16,,,38.00,gemessen:^GDAXI
2011-09-19,,,39.00,gemessen:^GDAXI
2011-09-20,,,32.00,gemessen:^GDAXI
2011-09-21,,,31.00,gemessen:^GDAXI
2011-09-22,,,28.00,gemessen:^GDAXI
2011-09-23,,,28.00,gemessen:^GDAXI
2011-09-26,,,26.00,gemessen:^GDAXI
2011-09-27,,,25.00,gemessen:^GDAXI
2011-09-28,,,27.00,gemessen:^GDAXI
2011-09-29,,,23.00,gemessen:^GDAXI
2011-09-30,,,22.00,gemessen:^GDAXI
2011-10-03,,,20.00,gemessen:^GDAXI
2011-10-04,,,23.00,gemessen:^GDAXI
2011-10-05,,,27.00,gemessen:^GDAXI
2011-10-06,,,33.00,gemessen:^GDAXI
2011-10-07,,,31.00,gemessen:^GDAXI
2011-10-10,,,41.00,gemessen:^GDAXI
2011-10-11,,,41.00,gemessen:^GDAXI
2011-10-12,,,42.00,gemessen:^GDAXI
2011-10-13,,,42.00,gemessen:^GDAXI
2011-10-14,,,41.00,gemessen:^GDAXI
2011-10-17,,,48.00,gemessen:^GDAXI
2011-10-18,,,48.00,gemessen:^GDAXI
2011-10-19,,,48.00,gemessen:^GDAXI
2011-10-20,,,54.00,gemessen:^GDAXI
2011-10-21,,,66.00,gemessen:^GDAXI
2011-10-24,,,62.00,gemessen:^GDAXI
2011-10-25,,,62.00,gemessen:^GDAXI
2011-10-26,,,71.00,gemessen:^GDAXI
2011-10-27,,,67.00,gemessen:^GDAXI
2011-10-28,,,66.00,gemessen:^GDAXI
2011-10-31,,,62.00,gemessen:^GDAXI
2011-11-01,,,62.00,gemessen:^GDAXI
2011-11-02,,,62.00,gemessen:^GDAXI
2011-11-03,,,63.00,gemessen:^GDAXI
2011-11-04,,,60.00,gemessen:^GDAXI
2011-11-07,,,65.00,gemessen:^GDAXI
2011-11-08,,,65.00,gemessen:^GDAXI
2011-11-09,,,59.00,gemessen:^GDAXI
2011-11-10,,,60.00,gemessen:^GDAXI
2011-11-11,,,60.00,gemessen:^GDAXI
2011-11-14,,,54.00,gemessen:^GDAXI
2011-11-15,,,54.00,gemessen:^GDAXI
2011-11-16,,,55.00,gemessen:^GDAXI
2011-11-17,,,52.00,gemessen:^GDAXI
2011-11-18,,,46.00,gemessen:^GDAXI
2011-11-21,,,43.00,gemessen:^GDAXI
2011-11-22,,,41.00,gemessen:^GDAXI
2011-11-23,,,39.00,gemessen:^GDAXI
