ticker,wochentag,faelle,schluss_ueber_eroeffnung_pct,erst_runter_pct,mittlere_tagesrendite_pct
BTI,Dienstag,364,50.0,53.0,-0.001
BTI,Mittwoch,360,50.3,51.4,0.054
BTI,Donnerstag,354,52.5,52.0,0.094
BTI,Freitag,352,55.4,54.0,0.113
BZ=F,Montag,329,52.3,49.5,-0.1
BZ=F,Dienstag,364,49.5,51.1,-0.059
BZ=F,Mittwoch,360,54.4,53.9,-0.024
BZ=F,Donnerstag,356,55.1,52.5,0.233
BZ=F,Freitag,353,53.5,52.1,0.175
C,Montag,329,55.0,55.0,0.154
C,Dienstag,364,50.3,52.7,-0.098
C,Mittwoch,360,49.2,51.1,-0.055
C,Donnerstag,354,53.4,47.5,0.013
C,Freitag,352,52.3,48.9,0.024
CAT,Montag,329,55.0,54.4,0.149
CAT,Dienstag,364,45.6,49.7,0.015
CAT,Mittwoch,360,48.9,51.1,0.011
CAT,Donnerstag,354,52.8,48.9,0.065
CAT,Freitag,352,53.4,50.0,0.06
CB,Montag,329,49.2,50.8,0.008
CB,Dienstag,364,48.6,48.9,-0.055
CB,Mittwoch,360,49.4,52.2,-0.074
CB,Donnerstag,354,52.8,49.7,0.145
CB,Freitag,352,49.4,47.7,-0.013
CBK.DE,Montag,352,54.3,56.0,0.279
CBK.DE,Dienstag,360,54.2,54.7,0.164
CBK.DE,Mittwoch,359,49.9,47.9,-0.063
CBK.DE,Donnerstag,358,48.3,48.6,-0.083
CBK.DE,Freitag,352,49.7,49.4,-0.088
CC=F,Montag,329,41.0,38.6,0.212
CC=F,Dienstag,364,41.8,40.7,0.158
CC=F,Mittwoch,360,38.9,39.7,-0.039
CC=F,Donnerstag,355,40.3,41.1,-0.049
CC=F,Freitag,353,39.1,37.4,-0.066
CCEP,Montag,329,51.4,53.2,0.01
CCEP,Dienstag,364,46.7,48.4,-0.068
CCEP,Mittwoch,360,48.3,52.2,0.028
CCEP,Donnerstag,354,49.2,53.1,0.08
CCEP,Freitag,352,55.4,54.3,0.074
CDNS,Montag,329,55.9,53.5,0.172
CDNS,Dienstag,364,48.1,49.5,-0.048
CDNS,Mittwoch,360,50.0,53.3,0.067
CDNS,Donnerstag,354,53.4,52.0,0.087
CDNS,Freitag,352,50.6,48.6,0.005
CDW,Montag,329,54.4,56.5,0.181
CDW,Dienstag,364,48.1,48.4,-0.069
CDW,Mittwoch,360,49.2,49.4,-0.014
CDW,Donnerstag,354,55.4,53.7,0.139
