ticker,datum,stunden_erfasst,reihen_lage,reihen_abweichung,tages_offen,tages_hoch,tages_tief,tages_schluss,atr,tief_marke,tief_datum,tief_bestaetigt,tief_urteil,tief_stunden_drunter,tief_abstand_atr,tief_tiefster_punkt_atr,hoch_marke,hoch_datum,hoch_urteil,hoch_stunden_drueber,hoch_abstand_atr,stand_gehalten
HEI.DE,2026-09-11,9,ok,0.0026,155.25,156.25,152.5,155.0,4.9286,154.6,2026-09-10,0,zurueckerobert,4,0.081,-0.426,168.55,2026-09-04,unberuehrt,0,-2.749,0
HEN3.DE,2026-09-11,9,ok,0.0168,73.56,73.78,72.38,72.44,1.0986,73.44,2026-09-10,0,gebrochen,3,-0.91,-0.965,76.84,2026-09-08,unberuehrt,0,-4.005,0
HNR1.DE,2026-09-11,9,ok,0.0112,251.6,253.0,249.8,251.8,3.8857,243.8,2026-09-09,1,unberuehrt,0,2.059,1.544,263.4,2026-09-03,unberuehrt,0,-2.985,0
HON,2026-09-11,7,ok,0.0,203.45,204.2,201.54,202.35,4.1814,201.08,2026-09-10,0,unberuehrt,0,0.304,0.11,221.45,2026-08-28,unberuehrt,0,-4.568,0
IBM,2026-09-11,7,ok,0.0002,235.78,243.63,235.0,243.235,6.3464,230.2,2026-09-08,1,unberuehrt,0,2.054,0.756,238.29,2026-09-03,gebrochen,6,0.779,0
IDXX,2026-09-11,7,ok,0.0002,509.88,510.905,500.61,504.6,13.5436,500.61,2026-09-11,0,unberuehrt,0,0.295,0.0,561.24,2026-08-31,unberuehrt,0,-4.182,0
IFX.DE,2026-09-11,9,ok,0.0462,56.07,58.5,55.94,58.38,2.0829,55.2,2026-09-10,0,unberuehrt,0,1.527,0.355,59.88,2026-09-08,unberuehrt,0,-0.72,0
ILMN,2026-09-11,7,ok,0.0001,201.81,208.36,200.01,206.47,8.6557,200.01,2026-09-11,0,angetestet,0,0.746,-0.0,221.76,2026-09-03,unberuehrt,0,-1.766,0
INTC,2026-09-11,7,ok,0.0001,102.47,104.9,101.08,102.93,4.5807,99.34,2026-09-10,1,unberuehrt,0,0.784,0.38,106.69,2026-09-09,unberuehrt,0,-0.821,0
INTU,2026-09-11,7,ok,0.0003,314.82,323.09,312.77,321.68,15.0964,309.8,2026-09-10,1,unberuehrt,0,0.787,0.197,363.7,2026-09-03,unberuehrt,0,-2.783,0
ISRG,2026-09-11,7,ok,0.0014,363.56,374.48,363.56,369.68,11.0643,345.25,2026-09-10,1,unberuehrt,0,2.208,1.655,382.41,2026-09-02,unberuehrt,0,-1.151,0
JNJ,2026-09-11,7,ok,0.0,268.03,270.4,265.25,265.58,5.2529,265.25,2026-09-11,0,unberuehrt,0,0.063,0.0,281.07,2026-09-02,unberuehrt,0,-2.949,0
JPM,2026-09-11,7,ok,0.0001,358.32,360.05,354.79,356.28,5.6079,348.69,2026-09-09,1,unberuehrt,0,1.353,1.088,362.86,2026-09-04,unberuehrt,0,-1.173,0
KDP,2026-09-11,7,ok,0.0,31.7,31.7,31.13,31.39,0.65,31.13,2026-09-11,0,unberuehrt,0,0.4,0.0,33.17,2026-09-03,unberuehrt,0,-2.738,0
KHC,2026-09-11,7,ok,0.0004,24.555,24.77,24.15,24.61,0.6539,24.15,2026-09-11,0,angetestet,0,0.703,-0.0,26.44,2026-09-02,unberuehrt,0,-2.798,0
KLAC,2026-09-11,7,ok,0.0006,180.895,182.4,177.01,180.75,7.0679,174.18,2026-09-10,1,unberuehrt,0,0.93,0.4,190.87,2026-09-08,unberuehrt,0,-1.432,0
KO,2026-09-11,7,ok,0.0003,88.44,88.65,87.805,88.265,1.2321,87.41,2026-09-09,1,unberuehrt,0,0.694,0.321,89.23,2026-09-03,unberuehrt,0,-0.783,0
LIN,2026-09-11,7,ok,0.0001,462.83,467.63,460.69,466.26,7.1914,460.2,2026-09-10,1,unberuehrt,0,0.843,0.068,491.98,2026-09-03,unberuehrt,0,-3.576,0
LRCX,2026-09-11,7,ok,0.0001,303.205,303.69,294.7375,298.24,12.4564,294.54,2026-09-11,0,unberuehrt,0,0.297,0.016,322.21,2026-09-09,unberuehrt,0,-1.924,0
LULU,2026-09-11,7,ok,0.0001,97.49,99.03,96.8,98.975,5.8107,95.67,2026-09-10,0,unberuehrt,0,0.569,0.194,103.75,2026-09-08,unberuehrt,0,-0.822,0
MAR,2026-09-11,7,ok,0.0001,334.28,336.8,330.49,334.73,7.0814,320.91,2026-09-09,1,unberuehrt,0,1.952,1.353,339.3,2026-09-04,unberuehrt,0,-0.645,0
MBG.DE,2026-09-11,9,ok,0.0041,47.3,47.44,46.33,46.665,1.0171,46.53,2026-09-09,0,zurueckerobert,1,0.133,-0.197,48.44,2026-09-08,unberuehrt,0,-1.745,0
MCD,2026-09-11,7,ok,0.0,254.42,254.73,252.15,252.52,3.7821,252.15,2026-09-11,0,angetestet,0,0.098,-0.0,266.07,2026-08-31,unberuehrt,0,-3.583,0
MCHP,2026-09-11,7,ok,0.0,72.82,75.16,72.45,74.2,2.2979,70.94,2026-09-10,1,unberuehrt,0,1.419,0.657,74.86,2026-09-04,zurueckerobert,1,-0.287,0
MDB,2026-09-11,7,ok,0.0011,373.0,374.61,361.21,361.82,23.0104,354.11,2026-09-08,1,unberuehrt,0,0.335,0.309,457.85,2026-08-28,unberuehrt,0,-4.173,0
MDLZ,2026-09-11,7,ok,0.0,62.87,62.9,62.21,62.44,1.2007,60.47,2026-09-08,1,unberuehrt,0,1.641,1.449,65.55,2026-08-24,unberuehrt,0,-2.59,0
MELI,2026-09-11,7,ok,0.0003,1928.5,1933.5,1892.23,1897.85,64.1993,1840.0,2026-09-10,0,unberuehrt,0,0.901,0.814,2066.0,2026-09-03,unberuehrt,0,-2.619,0
META,2026-09-11,7,ok,0.0003,653.02,664.24,646.2,648.23,21.325,556.1,2026-09-01,1,unberuehrt,0,4.32,4.225,593.34,2026-08-26,gebrochen,7,2.574,0
MMM,2026-09-11,7,ok,0.0001,163.86,165.37,162.551,164.96,3.0621,161.3,2026-09-10,1,unberuehrt,0,1.195,0.409,183.43,2026-08-19,unberuehrt,0,-6.032,0
MNST,2026-09-11,7,ok,0.0005,43.45,43.515,42.885,43.38,0.98,42.19,2026-09-09,1,unberuehrt,0,1.214,0.709,49.24,2026-08-25,unberuehrt,0,-5.98,0
MRK,2026-09-11,7,ok,0.0,145.52,145.9,143.68,143.93,3.53,143.68,2026-09-11,0,unberuehrt,0,0.071,0.0,152.8,2026-09-03,unberuehrt,0,-2.513,0
MRK.DE,2026-09-11,9,ok,0.0,131.6,132.1,131.1,131.65,2.5286,130.65,2026-09-09,0,unberuehrt,0,0.395,0.178,143.45,2026-09-01,unberuehrt,0,-4.667,0
MRNA,2026-09-11,7,ok,0.0002,138.093,149.71,135.0101,143.94,11.9996,62.129,2026-08-18,1,unberuehrt,0,6.818,6.074,65.525,2026-08-17,gebrochen,7,6.535,0
MRVL,2026-09-11,7,ok,0.0,234.665,240.2,229.28,236.1,13.2429,200.62,2026-09-01,1,unberuehrt,0,2.679,2.164,254.6,2026-08-27,unberuehrt,0,-1.397,0
