ticker,klasse_atr,faelle,verlust_atr_median,verlust_pct_median,hoeher_nach_5_pct,schluss_5_median_pct,tiefer_5_median_atr,tiefer_5_p90_atr,hoch_5_median_atr,hoeher_nach_10_pct,schluss_10_median_pct,tiefer_10_median_atr,tiefer_10_p90_atr,hoch_10_median_atr,hoeher_nach_20_pct,schluss_20_median_pct,tiefer_20_median_atr,tiefer_20_p90_atr,hoch_20_median_atr,hoeher_nach_60_pct,schluss_60_median_pct,tiefer_60_median_atr,tiefer_60_p90_atr,hoch_60_median_atr
ADBE,0.75,96,0.87,2.26,45.8,-0.25,1.03,3.52,0.98,54.2,0.51,1.42,4.49,1.43,53.1,0.75,2.05,6.64,2.05,47.9,-1.07,4.65,10.92,3.76
ADBE,1.0,43,1.08,3.29,58.1,1.27,1.09,3.07,1.26,55.8,2.38,1.19,4.99,2.07,55.8,0.39,1.62,6.61,2.46,53.5,1.49,4.4,7.42,4.03
ADBE,1.25,32,1.38,3.68,40.6,-0.82,1.44,2.67,1.06,43.8,-1.58,2.03,4.72,2.12,65.6,2.03,2.03,5.33,2.38,53.1,1.55,3.41,8.8,5.0
ADBE,1.5,11,1.61,4.21,54.5,0.97,1.39,2.48,1.41,63.6,2.03,1.48,2.91,1.55,81.8,3.71,1.69,3.18,3.22,72.7,6.77,2.59,4.63,6.01
ADBE,1.75,12,1.88,5.38,75.0,1.25,0.86,2.02,1.03,58.3,0.33,1.23,2.79,1.29,33.3,-2.46,2.22,8.18,1.5,41.7,-6.59,4.89,8.71,3.19
ADBE,2.0,5,2.04,7.06,40.0,-5.07,2.46,5.05,0.44,20.0,-3.34,3.47,6.11,0.44,0.0,-11.98,5.95,6.74,0.44,0.0,-14.69,7.1,11.26,1.3
ADBE,2.25,4,2.41,7.47,50.0,2.73,0.59,0.95,1.44,25.0,-1.73,2.03,2.79,1.84,50.0,-2.79,3.06,3.23,1.84,25.0,-10.73,5.53,7.44,2.6
ADBE,2.5,4,2.58,6.35,50.0,1.09,1.27,1.89,1.49,75.0,2.67,1.33,1.92,1.66,50.0,-1.88,2.6,3.66,2.04,25.0,-6.25,4.36,6.56,2.85
ADBE,2.75,2,2.88,7.56,50.0,0.02,1.43,1.72,1.0,50.0,-0.55,1.43,1.72,1.15,50.0,8.44,2.02,2.79,5.03,100.0,13.77,2.35,3.39,6.6
ADBE,3.5,1,3.67,16.79,0.0,-7.14,1.71,1.71,-0.53,0.0,-9.99,2.02,2.02,-0.53,0.0,-4.66,2.02,2.02,-0.21,100.0,6.96,2.02,2.02,2.46
ADBE,4.0,1,4.09,13.67,100.0,1.43,-0.16,-0.16,1.65,100.0,1.96,-0.16,-0.16,1.65,0.0,-4.54,1.27,1.27,1.65,0.0,-6.05,3.07,3.07,1.65
ADBE,4.25,1,4.33,13.85,100.0,3.12,0.0,0.0,1.57,100.0,4.85,0.0,0.0,1.9,0.0,-7.35,3.27,3.27,1.9,100.0,10.17,3.27,3.27,3.21
ADBE,4.5,1,4.5,13.69,0.0,-7.85,2.24,2.24,0.02,0.0,-5.93,2.52,2.52,0.02,0.0,-13.05,4.24,4.24,0.02,0.0,-20.39,5.99,5.99,0.02
ADI,0.25,209,0.37,0.95,53.6,0.38,0.92,2.55,1.04,59.3,1.63,1.27,3.74,1.56,58.9,2.18,1.67,4.92,2.32,66.5,5.34,2.83,7.02,4.3
ADI,0.5,130,0.62,1.62,63.8,1.15,0.78,1.88,1.33,57.7,1.05,1.17,2.94,1.77,61.5,2.23,1.68,4.06,2.67,76.9,6.75,2.11,5.64,4.91
ADI,0.75,90,0.87,2.26,58.9,0.51,0.86,2.39,1.24,64.4,1.89,1.14,3.22,1.77,64.4,2.23,1.5,4.67,2.19,65.6,3.56,2.66,6.7,3.91
ADI,1.0,54,1.11,2.82,63.0,0.9,0.71,2.18,1.25,64.8,0.98,1.24,3.3,1.93,51.9,0.62,1.54,4.77,2.4,57.4,2.05,3.09,8.23,4.96
ADI,1.25,38,1.34,3.18,52.6,0.81,0.83,2.77,1.43,44.7,-0.38,1.58,3.58,1.74,60.5,3.2,1.97,5.13,2.76,68.4,6.43,2.6,8.96,5.03
ADI,1.5,17,1.63,4.59,35.3,-2.41,1.52,2.46,0.9,47.1,-1.43,2.26,4.25,1.17,52.9,2.31,2.52,5.82,2.24,82.4,9.23,2.52,7.21,4.73
ADI,1.75,7,1.79,4.81,71.4,0.39,0.22,1.37,1.62,85.7,3.9,0.22,2.32,1.75,71.4,2.85,0.22,3.02,2.49,71.4,3.45,1.37,5.1,4.11
