ticker,datum,position,serie_laenge,typisch,tief,einstieg,atr,abstand_atr,rsi,rsi_rel,benoetigt_atr,benoetigt_ganz_atr,anstieg_atr,anstieg_pivot_atr,typischer_anstieg_atr,ziel_atr,resthistorie
SBUX,2026-02-02,1,1,1.0,89.0034,91.3802,2.8342,0.839,51.26,3.92,1.548,1.548,6.527,2.405,1.214,1.092,139
SBUX,2026-02-13,1,2,1.0,92.5231,96.3683,3.3093,1.162,50.82,3.49,2.39,2.39,4.083,0.69,1.214,1.092,127
SBUX,2026-02-23,2,2,1.0,92.4737,96.8033,2.7536,1.572,51.5,4.17,2.854,2.854,4.749,0.671,1.214,1.092,124
SBUX,2026-03-03,1,1,1.0,93.3139,96.0322,2.6009,1.045,54.31,6.98,3.344,3.344,5.324,2.01,1.214,1.092,119
SBUX,2026-03-19,1,2,1.0,90.5362,91.4852,2.8327,0.335,47.15,-0.18,2.09,2.09,6.493,1.947,1.214,1.092,107
SBUX,2026-03-27,2,2,1.0,84.6151,89.3896,2.9175,1.636,31.93,-15.41,0.0,0.0,7.023,2.609,1.214,1.092,99
SBUX,2026-04-13,1,1,1.0,94.3518,97.3371,2.5122,1.188,57.88,10.55,0.496,0.496,4.992,0.279,1.214,1.092,91
SBUX,2026-04-16,1,1,1.0,96.6451,98.8494,2.4098,0.915,59.63,12.3,1.469,1.469,4.577,0.332,1.214,1.092,88
SBUX,2026-04-21,1,2,1.0,95.7357,98.375,2.1584,1.223,55.58,8.24,1.219,1.219,5.33,0.591,1.214,1.092,85
SBUX,2026-04-28,2,2,1.0,95.3403,104.2862,1.8118,4.938,51.75,4.41,1.234,1.234,3.087,1.102,1.214,1.092,80
SBUX,2026-05-05,1,1,1.0,103.1494,105.2154,2.5136,0.822,66.37,19.03,3.996,3.996,1.855,0.629,1.214,1.092,75
SBUX,2026-05-07,1,1,1.0,101.7556,104.5234,2.6689,1.037,61.28,13.94,3.241,3.241,2.007,1.163,1.214,1.092,72
SBUX,2026-05-12,1,1,1.0,103.1395,104.731,2.7402,0.581,66.06,18.73,3.662,3.662,1.879,1.057,1.214,1.092,70
SBUX,2026-05-15,1,2,1.0,104.4003,105.9911,2.9942,0.531,66.92,19.58,3.772,3.772,1.298,-0.966,1.214,1.092,67
SHL.DE,2019-09-10,1,1,1.0,30.5791,31.6336,0.5687,1.854,12.3,-34.24,0.958,8.866,52.763,0.834,1.074,0.966,1764
SHL.DE,2019-09-16,1,1,1.0,30.9394,31.6555,0.5344,1.34,17.34,-29.2,1.693,10.107,56.099,-0.477,1.074,0.966,1761
SHL.DE,2019-09-23,1,2,1.0,30.8427,31.2645,0.6437,0.655,22.7,-23.84,1.256,8.242,47.188,0.505,1.074,0.966,1756
SHL.DE,2019-09-25,2,2,1.0,30.7724,31.1107,0.6336,0.534,25.06,-21.49,1.165,8.262,48.178,2.032,1.074,0.966,1754
SHL.DE,2019-09-27,1,1,1.0,30.8427,31.717,0.644,1.358,30.9,-15.64,1.255,8.238,46.462,1.057,1.074,0.966,1752
SHL.DE,2019-10-10,1,1,1.0,30.0343,30.667,0.6474,0.977,28.74,-17.8,0.0,6.945,47.836,4.201,1.074,0.966,1744
SHL.DE,2019-10-25,1,2,1.0,32.9824,33.1318,0.5985,0.25,60.34,13.79,0.162,12.44,47.631,8.472,1.074,0.966,1733
SHL.DE,2019-10-29,2,2,1.0,32.8857,33.2811,0.5357,0.738,56.78,10.24,0.0,13.717,52.933,9.186,1.074,0.966,1731
SHL.DE,2019-11-08,1,1,1.0,36.7652,37.7494,0.8197,1.201,71.73,25.19,3.152,13.697,29.142,0.895,1.074,0.966,1722
SHL.DE,2019-11-21,1,1,1.0,37.8329,38.1975,0.8401,0.434,73.27,26.73,4.823,14.635,27.901,1.391,1.074,0.966,1714
SHL.DE,2019-11-27,1,3,1.0,38.4392,38.6808,0.5705,0.424,68.19,21.64,10.959,22.613,40.237,-1.432,1.074,0.966,1709
SHL.DE,2019-12-10,2,3,1.0,37.0816,37.7142,0.6283,1.007,48.98,2.43,18.374,18.374,38.077,0.238,1.074,0.966,1701
SHL.DE,2019-12-19,3,3,1.0,36.8707,37.4155,0.5922,0.92,47.16,0.62,19.138,19.138,40.902,1.276,1.074,0.966,1694
SHL.DE,2020-01-06,1,1,1.0,36.7784,37.4638,0.5413,1.266,48.63,2.08,20.764,20.764,44.654,1.818,1.074,0.966,1687
SHL.DE,2020-01-14,1,1,1.0,36.6817,38.2195,0.6659,2.309,43.42,-3.12,16.734,16.734,35.165,2.25,1.074,0.966,1678
SHL.DE,2020-01-28,1,4,1.0,37.5034,38.9532,0.8335,1.739,51.73,5.19,14.356,14.356,27.215,0.227,1.074,0.966,1671
