ticker,position,faelle,zurueckfall_atr_min,zurueckfall_atr_p25,zurueckfall_atr_median,zurueckfall_atr_p75,zurueckfall_atr_p90,zurueckfall_atr_p95,zurueckfall_atr_max,n_21t,haelt_21t_pct,ruecksetzer_21t_median,ruecksetzer_21t_p75,ruecksetzer_21t_p90,n_42t,haelt_42t_pct,ruecksetzer_42t_median,ruecksetzer_42t_p75,ruecksetzer_42t_p90,n_63t,haelt_63t_pct,ruecksetzer_63t_median,ruecksetzer_63t_p75,ruecksetzer_63t_p90,n_84t,haelt_84t_pct,ruecksetzer_84t_median,ruecksetzer_84t_p75,ruecksetzer_84t_p90,n_126t,haelt_126t_pct,ruecksetzer_126t_median,ruecksetzer_126t_p75,ruecksetzer_126t_p90,n_189t,haelt_189t_pct,ruecksetzer_189t_median,ruecksetzer_189t_p75,ruecksetzer_189t_p90,n_252t,haelt_252t_pct,ruecksetzer_252t_median,ruecksetzer_252t_p75,ruecksetzer_252t_p90
BRK-B,Hoch 5,9,2.17039994531762,4.386054563754834,5.14799699239773,5.759677647567239,6.279493304495055,6.358053332456504,6.436613360417953,9,44.4,3.25,5.0,6.05,9,22.2,4.25,5.75,6.05,9,11.1,5.0,5.75,6.05,9,11.1,5.5,6.0,8.2,9,0.0,5.5,6.75,13.6,9,0.0,5.5,6.75,14.4,9,0.0,5.5,6.75,14.4
BRK-B,Hoch 6,6,2.8735653804300316,5.369636068700283,6.905507559263615,7.241607532228368,17.83826583984531,23.080700923700643,28.323136007555977,6,16.7,3.0,6.12,6.75,6,0.0,4.88,6.75,7.0,6,0.0,6.75,7.12,11.62,6,0.0,6.75,7.12,11.62,6,0.0,7.0,7.44,11.75,6,0.0,7.0,7.44,11.75,6,0.0,7.0,7.44,11.75
BRK-B,Hoch 7,6,5.908144656616132,6.698104038543705,7.284948881300022,8.217423515385278,21.853484840077265,28.52639102210414,35.199297204131014,6,66.7,4.12,5.69,7.25,6,50.0,7.12,8.19,11.5,6,16.7,7.12,8.19,12.25,6,16.7,7.12,8.19,12.25,6,16.7,7.12,8.75,12.62,6,0.0,7.12,8.75,12.62,6,0.0,7.12,8.75,12.62
BRK-B,Hoch 8,3,7.683759271119559,7.98072012277684,8.277680974434121,22.506232740391788,31.04336379996639,33.88907415315792,36.734784506349456,3,33.3,4.0,5.62,6.6,3,33.3,8.25,12.12,14.45,3,0.0,8.25,12.12,14.45,3,0.0,8.25,12.12,14.45,3,0.0,8.25,12.12,14.45,3,0.0,8.25,12.12,14.45,3,0.0,8.25,12.12,14.45
BRK-B,Hoch 9,2,8.628896392654603,15.186626597144066,21.74435680163353,28.302087006122992,32.23672512881667,33.54827116971456,34.859817210612455,2,50.0,5.62,5.94,6.12,2,50.0,12.25,14.12,15.25,2,50.0,12.25,14.12,15.25,2,50.0,12.25,14.12,15.25,2,50.0,12.25,14.12,15.25,2,50.0,12.25,14.12,15.25,2,0.0,12.25,14.12,15.25
BRK-B,Hoch 10,1,11.275962822428177,11.275962822428177,11.275962822428177,11.275962822428177,11.275962822428177,11.275962822428177,11.275962822428177,1,100.0,9.0,9.0,9.0,1,100.0,11.25,11.25,11.25,1,100.0,11.25,11.25,11.25,1,100.0,11.25,11.25,11.25,1,0.0,11.25,11.25,11.25,1,0.0,11.25,11.25,11.25,1,0.0,11.25,11.25,11.25
BTC-USD,alle,193,0.7635544505129624,2.359963153656437,4.8050139871898745,8.067414719805708,11.460865463978594,15.509538618865657,22.334571623425052,193,31.6,2.75,4.75,7.7,193,21.2,3.5,5.75,9.85,193,16.6,4.75,8.0,11.25,191,14.7,5.0,8.38,13.5,188,11.7,5.88,9.5,14.5,180,8.3,6.25,10.31,16.0,175,5.7,6.5,10.75,16.0
BTC-USD,Hoch 1,86,0.7635544505129624,2.3341652731212976,4.810344396233697,8.159075870577546,12.45945158917313,15.85440913850097,19.58135035086751,86,33.7,2.5,5.0,8.75,86,25.6,3.5,6.5,10.5,86,19.8,4.75,8.0,12.25,85,20.0,5.75,8.75,13.4,83,14.5,6.0,9.38,13.7,81,12.3,7.0,11.5,16.0,78,9.0,7.25,10.94,16.0
BTC-USD,Hoch 2,45,0.8439957590233947,2.582584999582568,4.827166486117294,7.065917688821514,10.629146866281593,15.449312242841525,22.334571623425052,45,26.7,3.0,4.25,6.75,45,13.3,3.25,5.75,10.15,45,13.3,4.75,7.0,10.55,44,9.1,5.12,8.31,10.93,43,7.0,6.0,9.25,14.85,42,4.8,6.38,9.88,16.0,41,4.9,6.75,10.5,16.0
BTC-USD,Hoch 3,26,1.1240571901212983,2.513625732945728,4.15985495493673,9.29574279096002,13.275842473964598,15.353115184884679,16.202034118599652,26,30.8,2.75,3.69,8.25,26,19.2,3.0,5.31,9.38,26,15.4,4.0,9.12,13.12,26,11.5,4.75,9.62,15.5,26,11.5,5.38,10.0,15.5,24,4.2,5.62,10.75,15.93,23,0.0,5.75,10.38,15.95
